Name,"Short Name"
"Prissy Princess",prissy_princess
"Fat Santa",fat_santa
"Coyote Moon",coyote_moon
"Age of Discovery",age_of_discovery
"Space Arcade",space_arcade
"Life of Riches",life_of_riches
"Golden Grimoire",golden_grimoire
"Joker Pro",joker_pro
"Geisha Wonders",geisha_wonders
"Ruby - Casino Queen",ruby_casino_queen
"Diamond Dogs",diamond_dogs
"Raging Reindeer",raging_reindeer
"Blood Eternal",blood_eternal
"Rich Wilde and the Tome of Madness",rich_wilde_and_the_tome_of_madness
"Pink Elephants",pink_elephants
"Captain Cash",captain_cash
"Dragon's Fire",dragons_fire
"Sakura Fortune",sakura_fortune
"Fisherman's Jackpot",fishermans_jackpot
"Sugar Parade",sugar_parade
"Devil's Number",devils_number
"Sea Hunter",sea_hunter
"Paco and the Popping Peppers",paco_and_the_popping_peppers
"Super Lucky Frog",super_lucky_frog
"Mega Fortune",mega_fortune
Shoot!,shoot
"Super Flip",super_flip
"Twin Spin Deluxe",twin_spin_deluxe
"Sevens High",sevens_high
"Robin Hood - Shifting Riches",robin_hood_shifting_riches
"Baron Samedi",baron_samedi
"Holiday Season",holiday_season
"Ozwin's Jackpots",ozwins_jackpots
"House of Fun",house_of_fun
"Merlin's Millions",merlins_millions
"Cash n Curry",cash_n_curry
"Quick Hit Platinum Triple Blazing 7s ",quick_hit_platinum_triple_blazing_7s
"Jack and the Beanstalk",jack_and_the_beanstalk
"Easy Slider",easy_slider
Magicious,magicious
"Money Drive",money_drive
"Cabaret Royale",cabaret_royale
"Vegas High Roller",vegas_high_roller
"Sweet 27",sweet_27
"Creature from the Black Lagoon",creature_from_the_black_lagoon
"Fairytale Legends: Red Riding Hood",fairytale_legends_red_riding_hood
"Fortune House",fortune_house
"Who's the Bride",whos_the_bride
Thief,thief
"Troll Hunters",troll_hunters
"Lightning Strike Megaways",lightning_strike_megaways
"Strolling Staxx",strolling_staxx
EmotiCoins,emoticoins
"Spina Colada",spina_colada
"Drive: Multiplier Mayhem",drive_multiplier_mayhem
Gemix,gemix
"Wicked Circus",wicked_circus
"Wish Upon a Leprechaun Megaways",wish_upon_a_leprechaun_megaways
"Eastern Dragon",eastern_dragon
"Crazy Sports",crazy_sports
Zoom,zoom
"Jingle Bells",jingle_bells
"Egyptian Heroes",egyptian_heroes
"Cash Crazy",cash_crazy
Spinsane,spinsane
"Bruce Lee",bruce_lee
"Sweety Honey Fruity",sweety_honey_fruity
Bicicleta,bicicleta
"Mega Jade",mega_jade
"Easter Eggs",easter_eggs
"Shangri La",shangri_la
"Gold Lab",gold_lab
"Centre Court",centre_court
"The Big Easy",the_big_easy
"Jack Hammer",jack_hammer
"Fairytale Legends: Hansel and Gretel",fairytale_legends_hansel_and_gretel
"1 Can 2 Can",1_can_2_can
"Reel Strike",reel_strike
"Wheel of Wealth",wheel_of_wealth
"Aztec Treasures",aztec_treasures
"Børk The Berzerker",bork_the_berzerker
Starmania,starmania
"Piggy Riches",piggy_riches
"Treasure Mine",treasure_mine
"DaVinci Diamonds",davinci_diamonds
"Rhino Rumble",rhino_rumble
"Frankenslots Monster",frankenslots_monster
"Universal Monsters: The Phantom's Curse",universal_monsters_the_phantoms_curse
"Viking Age",viking_age
"Goldilocks and the Wild Bears",goldilocks_and_the_wild_bears
"Magic Portals",magic_portals
"Flowers Christmas Edition",flowers_christmas_edition
"Bai Shi",bai_shi
"Break da Bank",break_da_bank
"Titan Thunder",titan_thunder
"Dragon Dance",dragon_dance
"Barber Shop Uncut",barber_shop_uncut
"The Great Albini",the_great_albini
"7 Sins",7_sins
Cats,cats
"Conan Video Slot",conan_video_slot
Butterflies,butterflies
"White Buffalo",white_buffalo
Jeopardy!,jeopardy
"Viking Runecraft",viking_runecraft
"Smash the Pig",smash_the_pig
"Jammin' Jars",jammin_jars
Gladiator,gladiator
"Kawaii Kitty",kawaii_kitty
"Jackaroo Jack",jackaroo_jack
"Copy Cats",copy_cats
"Disco Spins",disco_spins
"Dr. Jekyll Goes Wild",dr_jekyll_goes_wild
"Glorious Empire",glorious_empire
"Icy wonders",icy_wonders
"Thunderstruck II",thunderstruck_ii
"Dungeons & Dragons",dungeons_dragons
"Frozen Inferno",frozen_inferno
"Secrets of Horus",secrets_of_horus
"Roasty McFry and the Flame Busters",roasty_mcfry_and_the_flame_busters
"BBQ Frenzy",bbq_frenzy
"Golden Ticket",golden_ticket
"Fruit Stack Mega Wheel",fruit_stack_mega_wheel
"Crystal Queen",crystal_queen
"Super Hoot Loot",super_hoot_loot
"Chief's Fortune",chiefs_fortune
ChainMail,chainmail
"When Pigs Fly",when_pigs_fly
Jokerizer,jokerizer
Belissimo!,belissimo
"Safari Madness",safari_madness
Cashapillar,cashapillar
"Ninja Ways",ninja_ways
"Beavis and Butt-Head",beavis_and_butt_head
"Twin Happiness",twin_happiness
"Conga Party",conga_party
Loaded,loaded
"Banana Odyssey",banana_odyssey
"Alpine Adventure",alpine_adventure
"2 Million B.C.",2_million_bc
"Fat Rabbit",fat_rabbit
"James Win",james_win
Zombies,zombies
"Medallion Megaways",medallion_megaways
Donuts,donuts
Serenity,serenity
"9K Yeti",9k_yeti
Zodiac,zodiac
"Fruit Spin",fruit_spin
"Booty Time",booty_time
"Diamond Queen",diamond_queen
"Koi Princess",koi_princess
"Samba Carnival",samba_carnival
"Wild Robo Factory",wild_robo_factory
"Emperor's Garden",emperors_garden
Razortooth,razortooth
"So Much Sushi",so_much_sushi
"Oink Country Love",oink_country_love
"Vikings Go Berzerk",vikings_go_berzerk
"Fruit Blast",fruit_blast
"Golden Glyph",golden_glyph
Arrival,arrival
"Fruit Slot",fruit_slot
"Pirates Plenty",pirates_plenty
Hamilton,hamilton
"Pandoras Box",pandoras_box
"King Colossus",king_colossus
Snowflakes,snowflakes
"Wild Reels",wild_reels
"So Many Monsters",so_many_monsters
"Vinyl Countdown",vinyl_countdown
"Scudamore's Super Stakes",scudamores_super_stakes
"Cleopatra Plus",cleopatra_plus
"Deep Sea Dosh",deep_sea_dosh
"Super Heroes",super_heroes
"Big Break",big_break
Avalon,avalon
"Wild Swarm",wild_swarm
"The Falcon Huntress",the_falcon_huntress
"Esqueleto Mariachi",esqueleto_mariachi
"Coins of Fortune",coins_of_fortune
"Diamond Deal",diamond_deal
Abra-Kebab-Ra!,abra_kebab_ra
"Cinderella's Ball",cinderellas_ball
"Dead Rich",dead_rich
Incinerator,incinerator
"Let's Get Ready to Rumble",lets_get_ready_to_rumble
"California Gold",california_gold
"Don Deal",don_deal
"Wild Rockets",wild_rockets
"Extra Chili",extra_chili
"Beach Volley",beach_volley
"Tornado Farm Escape",tornado_farm_escape
Batman,batman
